Id,forecasts
s1h1,249320.6
s1h2,246251.0
s1h3,230031.0
s1h4,248631.8
s1h5,243271.8
s1h6,236355.2
s1h7,302897.8
s1h8,249320.6
s1h9,246251.0
s1h10,230031.0
s1h11,248631.8
s1h12,243271.8
s1h13,236355.2
s1h14,302897.8
s1h15,249320.6
s1h16,246251.0
s1h17,230031.0
s1h18,248631.8
s1h19,243271.8
s1h20,236355.2
s1h21,302897.8
s2h1,349334.6
s2h2,324091.4
s2h3,314728.0
s2h4,338244.6
s2h5,330409.8
s2h6,334250.6
s2h7,411690.6
s2h8,349334.6
s2h9,324091.4
s2h10,314728.0
s2h11,338244.6
s2h12,330409.8
s2h13,334250.6
s2h14,411690.6
s2h15,349334.6
s2h16,324091.4
s2h17,314728.0
s2h18,338244.6
s2h19,330409.8
s2h20,334250.6
s2h21,411690.6
s3h1,2882.7134370622375
s3h2,2841.4564440924755
s3h3,2551.55615017118
s3h4,2496.0074849028565
s3h5,2761.2721928728624
s3h6,3177.064488498757
s3h7,2695.747122345876
s3h8,2872.8037322855957
s3h9,2831.6822133167634
s3h10,2542.736437198701
s3h11,2487.3712128532775
s3h12,2751.7615151325344
s3h13,3166.1906976124314
s3h14,2686.4520712338376
s3h15,2862.9265595985057
s3h16,2821.940090760078
s3h17,2533.945837841881
s3h18,2478.763477203704
s3h19,2742.28212020841
s3h20,3155.3524475610975
s3h21,2677.187626829595
s4h1,3543.4656574831497
s4h2,3260.7896585831004
s4h3,3077.105879775716
s4h4,2969.494662766253
s4h5,3152.4472562967667
s4h6,3715.5753469254987
s4h7,3377.763612532414
s4h8,3552.595726936682
s4h9,3269.2658233271864
s4h10,3085.153929972137
s4h11,2977.290649436103
s4h12,3160.671224875886
s4h13,3725.1008195419786
s4h14,3386.5110702425245
s4h15,3561.7468220834826
s4h16,3277.7616807743675
s4h17,3093.220793578347
s4h18,2985.1049292255543
s4h19,3168.914368834443
s4h20,3734.6481183507926
s4h21,3395.2787751183087
s5h1,107220.84502678843
s5h2,99717.97643700897
s5h3,96031.6074777545
s5h4,93372.71131873349
s5h5,86481.98070539076
s5h6,72208.81366487248
s5h7,87335.34813314739
s5h8,107760.93957312535
s5h9,100213.67703606703
s5h10,96505.71562760443
s5h11,93831.33858534989
s5h12,86900.86616222741
s5h13,72547.25129546903
s5h14,87759.12494587836
s5h15,108304.25223131539
s5h16,100712.29238290567
s5h17,96982.59246218587
s5h18,94292.63044350279
s5h19,87322.15150402967
s5h20,72887.56513066469
s5h21,88185.33402141203
s6h1,126928.0
s6h2,123749.0
s6h3,125805.0
s6h4,131624.0
s6h5,118177.0
s6h6,96870.0
s6h7,109500.0
s6h8,126928.0
s6h9,123749.0
s6h10,125805.0
s6h11,131624.0
