Id,forecasts
s1h1,258704.49109909788
s1h2,255623.39921488822
s1h3,241807.67823370817
s1h4,246945.41430482792
s1h5,255481.02026877247
s1h6,240046.50872490244
s1h7,304373.92617580516
s1h8,256966.89723048153
s1h9,254800.95927416062
s1h10,241513.8509714964
s1h11,246932.34409182658
s1h12,255728.4247827447
s1h13,240344.08831282624
s1h14,304892.13577721175
s1h15,257339.51209900013
s1h16,255165.43847596657
s1h17,241868.21348793365
s1h18,247275.81628819514
s1h19,256173.70624760533
s1h20,240751.4859376535
s1h21,305474.65269331983
s2h1,373968.0495366057
s2h2,351298.73565881775
s2h3,336635.33370744844
s2h4,336043.35871373164
s2h5,332529.9434716927
s2h6,330283.22110774653
s2h7,443390.36784617946
s2h8,370994.5652819356
s2h9,349865.81861946534
s2h10,336171.3604227664
s2h11,336011.5053858624
s2h12,332741.2830626144
s2h13,330590.9551428388
s2h14,443952.07613242534
s2h15,371406.09906151344
s2h16,350262.13918069674
s2h17,336534.87670496147
s2h18,336374.9676252501
s2h19,333139.6427655591
s2h20,330988.3757155564
s2h21,444560.3116054394
s3h1,3241.702394562435
s3h2,3402.159096221989
s3h3,2705.1872880601136
s3h4,2810.8420962331393
s3h5,2819.4998895125996
s3h6,3313.110801443421
s3h7,2804.9214207831224
s3h8,3282.962497992063
s3h9,3429.4358872133294
s3h10,2722.19917226018
s3h11,2819.341188613374
s3h12,2820.584657976747
s3h13,3307.7732134281823
s3h14,2798.8534254225597
s3h15,3273.8597248096253
s3h16,3418.5919459125967
s3h17,2711.964446688899
s3h18,2808.0785232499647
s3h19,2807.4450028705437
s3h20,3292.2260751830336
s3h21,2785.4238208257884
s4h1,4015.065057808084
s4h2,3904.019414585863
s4h3,3302.342961905377
s4h4,3325.012983592611
s4h5,3292.8386855491626
s4h6,3796.631464435993
s4h7,3466.7716773262428
s4h8,4048.288369883981
s4h9,3924.256392000544
s4h10,3313.936566913471
s4h11,3328.9890748053326
s4h12,3290.9001159114573
s4h13,3788.4807339667755
s4h14,3457.440320092116
s4h15,4036.5021930536814
s4h16,3911.8773238409904
s4h17,3301.8494718853076
s4h18,3315.8120052766144
s4h19,3276.560534701292
s4h20,3771.4124863463708
s4h21,3441.6787293532952
s5h1,107541.12414520486
s5h2,99713.96571528085
s5h3,94056.81340371488
s5h4,92531.86123720607
s5h5,84626.70605738359
s5h6,69596.51943869433
s5h7,91086.66075554624
s5h8,107491.85220235802
s5h9,99878.52415071242
s5h10,94164.5739344957
s5h11,92624.58837681344
s5h12,84711.81650226603
s5h13,69666.54822331095
s5h14,91176.2505799984
s5h15,107603.9297979704
s5h16,99980.73842619812
s5h17,94263.24491512105
s5h18,92719.59709623357
s5h19,84797.77955359299
s5h20,69736.84232899827
s5h21,91266.23178585933
s6h1,148110.1197576303
s6h2,142420.45155322575
s6h3,143212.34364826872
s6h4,141578.61265904907
s6h5,119541.75571155739
s6h6,92472.36131318838
s6h7,116011.76505304454
s6h8,148967.08883487605
s6h9,143148.24868543798
s6h10,143784.24919610273
s6h11,142044.6024533649
s6h12,119916.90049935736
s6h13,92759.01382216135
s6h14,116284.38379878474
s6h15,149237.01309365852
s6h16,143385.55644581767
s6h17,143997.09670319784
s6h18,142238.21805613098
s6h19,120087.48164076231
s6h20,92891.53495144488
s6h21,116441.20702507181
s7h1,135985.55970566318
s7h2,140886.81707269952
s7h3,123517.69732979375
s7h4,130807.39913364715
s7h5,151837.4064389525
s7h6,158714.00046465322
s7h7,203798.09188776437
s7h8,135710.13933583422
s7h9,141531.10798421007
s7h10,124001.79436994903
s7h11,131258.40321478323
s7h12,152545.7781400239
s7h13,159523.2375804131
s7h14,204823.28303757976
s7h15,136185.4610888776
s7h16,142038.92297963164
s7h17,124448.58852227153
s7h18,131720.36188814978
s7h19,153276.19403749346
s7h20,160356.83767228588
s7h21,205882.06313198307
s8h1,170379.8700849917
s8h2,181207.09731715606
s8h3,191598.8679670423
s8h4,187591.82119011902
s8h5,173881.3152306584
s8h6,160850.45512079293
s8h7,164178.879780387
s8h8,175348.71898890822
s8h9,184899.6990280875
s8h10,193999.82558615456
s8h11,189185.26446559763
s8h12,174838.17558570564
s8h13,161422.91552168067
s8h14,164444.2204258742
s8h15,175375.5324880853
s8h16,184747.3996087404
s8h17,193726.022883015
s8h18,188848.73053480848
s8h19,174420.95333143245
s8h20,161012.52420509912
s8h21,164008.61918181606
s9h1,191082.71067965226
s9h2,186705.23710685392
s9h3,196866.74184487073
s9h4,195897.56325350574
s9h5,176756.00821364095
s9h6,173531.1030348904
s9h7,195343.73774805907
s9h8,191691.07267843932
s9h9,187242.81904735134
s9h10,197389.1637352943
s9h11,196408.76006145438
s9h12,177236.89689765545
s9h13,174005.54843579532
s9h14,195890.8007642192
s9h15,192234.69065296007
s9h16,187759.19265010065
s9h17,197912.07528200207
s9h18,196924.73584261167
s9h19,177723.43081799717
s9h20,174485.86953636576
s9h21,196444.94904981912
s10h1,67434.76523964886
s10h2,67797.56436106777
s10h3,67921.97140983898
s10h4,67880.73521604462
s10h5,64782.65792265573
s10h6,61343.17453394585
s10h7,63530.01674466586
s10h8,68212.75118923634
s10h9,68449.65435790598
s10h10,68448.62722847275
s10h11,68308.19821512137
s10h12,65130.46757830543
s10h13,61626.7371473093
s10h14,63757.16400162506
s10h15,68391.61805312484
s10h16,68592.81667401112
s10h17,68562.24397087333
s10h18,68397.76420453703
s10h19,65202.23177271355
s10h20,61684.73760009052
s10h21,63800.006610469085
s11h1,25486.41600029824
s11h2,25053.096681753585
s11h3,23880.036686275267
s11h4,24066.525578777095
s11h5,23306.73670739018
s11h6,23327.36209182688
s11h7,23449.502358077403
s11h8,25523.61376595373
s11h9,25151.197062790478
s11h10,23955.933536196288
s11h11,24132.763684033136
s11h12,23377.797020948707
s11h13,23399.053341462717
s11h14,23521.317992648215
s11h15,25593.82473912755
s11h16,25222.039493034106
s11h17,24026.82325112392
s11h18,24203.67467240008
s11h19,23449.247518327258
s11h20,23469.622985337774
s11h21,23592.802841885168
s12h1,30039.691904103285
s12h2,30326.89393735541
s12h3,28468.67109588358
s12h4,29441.145945338038
s12h5,27961.668576271757
s12h6,27753.376390038327
s12h7,27298.01010706242
s12h8,29826.24628230561
s12h9,30153.186217638086
s12h10,28346.742111251027
s12h11,29355.75453809545
s12h12,27906.05903639828
s12h13,27721.031716639423
s12h14,27284.100682128283
s12h15,29826.816086773215
s12h16,30165.2008765169
s12h17,28367.832832206725
s12h18,29383.987096544064
s12h19,27939.9634923231
s12h20,27759.365704422573
s12h21,27325.9638191017
s13h1,624209.5717130218
s13h2,581772.0048590867
s13h3,560868.2537287986
s13h4,569027.7515826077
s13h5,539937.9310273392
s13h6,469337.37521529396
s13h7,537693.4824490818
s13h8,630034.8412062621
s13h9,585445.8493134591
s13h10,562090.9053301179
s13h11,569259.5381686753
s13h12,539620.8785148663
s13h13,468825.9937559822
s13h14,536886.1138148693
s13h15,628933.0005777472
s13h16,584362.8891337548
s13h17,561034.3869212633
s13h18,568193.8730962939
s13h19,538628.7998299177
s13h20,467948.525974264
s13h21,535887.3527106888
s14h1,771306.8155067972
s14h2,725347.9993347145
s14h3,708018.3103540207
s14h4,723469.681400081
s14h5,693002.2118480151
s14h6,593314.2241785254
s14h7,640985.0287446406
s14h8,771697.063079819
s14h9,725783.237476291
s14h10,708431.1645328576
s14h11,723882.1168000674
s14h12,693394.3293618967
s14h13,593644.8886854525
s14h14,641349.601643211
s14h15,772138.4188759353
s14h16,726215.5686336339
s14h17,708855.7420790463
s14h18,724298.1672112513
s14h19,693790.8294506667
s14h20,593978.1125043456
s14h21,641716.446252849
s15h1,894650.3535432632
s15h2,859289.6233653865
s15h3,840034.147846407
s15h4,887030.6412732109
s15h5,940946.832941674
s15h6,1103740.2702029003
s15h7,1184276.5431948872
s15h8,915721.8174695802
s15h9,872388.5927359363
s15h10,847786.3939913948
s15h11,891428.1445915698
s15h12,943167.8605294514
s15h13,1104380.3461718415
s15h14,1183845.799100614
s15h15,915066.5599380067
s15h16,871527.6100810595
s15h17,846754.0079399458
s15h18,890276.7824624092
s15h19,941888.1454342091
s15h20,1102814.1247046653
s15h21,1182026.868682879
s16h1,1244332.399930614
s16h2,1247222.3309041276
s16h3,1160132.6785996724
s16h4,1140929.267467429
s16h5,1171814.6139326587
s16h6,1348457.2105102492
s16h7,1544629.8386271244
s16h8,1267932.6024021076
s16h9,1264218.3598687318
s16h10,1171947.3190400987
s16h11,1149148.7711222228
s16h12,1177450.5333126928
s16h13,1352177.9696884477
s16h14,1546939.0364276662
s16h15,1269496.1581371473
s16h16,1265194.060978363
s16h17,1172504.0411855082
s16h18,1149404.8459408968
s16h19,1177460.896481852
s16h20,1351924.1057539699
s16h21,1546440.5969950068
s17h1,634841.5876332388
s17h2,616036.9829400469
s17h3,611968.6408538257
s17h4,587458.4932832494
s17h5,538673.1799360467
s17h6,509426.51631434186
s17h7,600322.2070187939
s17h8,635870.1398090078
s17h9,616997.0549140022
s17h10,612940.9107260591
s17h11,588402.5816555637
s17h12,539520.0905827489
s17h13,510216.4689919225
s17h14,601237.3138558674
s17h15,636857.0231358212
s17h16,617979.5031272704
s17h17,613924.8135525512
s17h18,589351.9935511054
s17h19,540370.8952459375
s17h20,511010.14819415356
s17h21,602156.6194931429
s18h1,498027.52391603426
s18h2,442393.28109653195
s18h3,466630.0063693407
s18h4,455029.27407521085
s18h5,398193.44792656193
s18h6,382214.6705092493
s18h7,461221.64156508783
s18h8,498177.35513123334
s18h9,442474.32826579444
s18h10,466727.6950997142
s18h11,455123.5050906345
s18h12,398279.66212752595
s18h13,382296.0761598047
s18h14,461318.4415692086
s18h15,498278.31527513947
s18h16,442571.08339559677
s18h17,466826.69754156546
s18h18,455219.09470341465
s18h19,398366.36187909386
s18h20,382377.73190630245
s18h21,461415.38307552185
s19h1,8182.900841854172
s19h2,8488.944862501936
s19h3,7715.703646098251
s19h4,8376.24808259345
s19h5,8887.57656055722
s19h6,7946.205773196253
s19h7,9034.632192432742
s19h8,8170.239552855101
s19h9,8573.920204101943
s19h10,7712.34578002911
s19h11,8371.098633832706
s19h12,8896.30959233798
s19h13,7952.51376949319
s19h14,9039.353596672081
s19h15,8175.92815482123
s19h16,8580.017982313264
s19h17,7718.038483403671
s19h18,8377.02795376546
s19h19,8901.995248035262
s19h20,7957.579852836242
s19h21,9044.78275759339
s20h1,11436.891155144896
s20h2,12713.206570136947
s20h3,10917.479621468321
s20h4,12436.897330728421
s20h5,14268.93334738003
s20h6,12472.37200755318
s20h7,11524.026390703124
s20h8,11481.578299297988
s20h9,12728.125454551855
s20h10,10924.94623433481
s20h11,12446.365460300838
s20h12,14277.828420428328
s20h13,12480.456173565011
s20h14,11532.946278973393
s20h15,11490.924158328326
s20h16,12737.903178155255
s20h17,10934.837063692688
s20h18,12455.751158584637
s20h19,14286.731343004662
s20h20,12488.627665637776
s20h21,11541.944919524
s21h1,233800.57699972225
s21h2,227229.50568268186
s21h3,221734.95694021485
s21h4,226951.15222472275
s21h5,251095.9044461829
s21h6,258666.82203652084
s21h7,255205.67883512136
s21h8,234131.80380341437
s21h9,227914.46093233034
s21h10,222156.90962578586
s21h11,227347.55929807582
s21h12,251544.94562396122
s21h13,259113.75387886792
s21h14,255638.0176336065
s21h15,234565.6029496157
s21h16,228352.78306866833
s21h17,222591.99691182203
s21h18,227784.69157026146
s21h19,251984.96759745377
s21h20,259553.34057452396
s21h21,256071.67566666016
s22h1,211159.1191576873
s22h2,172664.30964588092
s22h3,170456.61231653832
s22h4,164683.59128355826
s22h5,145051.76833460832
s22h6,118319.29141983915
s22h7,134546.19917098564
s22h8,211166.47366490623
s22h9,172415.64064102047
s22h10,170175.8113368094
s22h11,164409.04438054012
s22h12,144820.71325365466
s22h13,118133.22945557741
s22h14,134325.32707263215
s22h15,210881.87213434666
s22h16,172132.6350943648
s22h17,169895.87092165428
s22h18,164137.06148400516
s22h19,144591.39119849927
s22h20,117948.41142378519
s22h21,134105.9011209471
s23h1,339111.0459210363
s23h2,326203.3577167096
s23h3,331041.33267031953
s23h4,323735.9448423115
s23h5,290238.24022499763
s23h6,294400.8426888498
s23h7,362060.02886536566
s23h8,340170.383464597
s23h9,326763.37877965445
s23h10,331316.5939914254
s23h11,323828.4287496963
s23h12,290232.0686857756
s23h13,294326.465883043
s23h14,361887.1864093069
s23h15,339963.9153964074
s23h16,326537.0487699078
s23h17,331080.0515806152
s23h18,323591.6049821882
s23h19,290013.4797471198
s23h20,294115.2374433434
s23h21,361626.3810292007
s24h1,254519.29164323866
s24h2,241175.16223757985
s24h3,250811.64225104172
s24h4,236422.37331410122
s24h5,219349.33474597312
s24h6,231039.8328457843
s24h7,279363.6106085679
s24h8,254869.1268103992
s24h9,240838.19458139205
s24h10,250703.415623347
s24h11,236420.6545145679
s24h12,219333.75127670672
s24h13,231009.32685005394
s24h14,279330.8248124601
s24h15,254838.83704936944
s24h16,240808.85624161857
s24h17,250674.19858270802
s24h18,236391.45510793547
s24h19,219305.80449329037
s24h20,230980.69201382992
s24h21,279299.7097681481
s25h1,238517.36916271108
s25h2,234459.89420225064
s25h3,228008.42727942226
s25h4,221029.11393623476
s25h5,243394.73524080968
s25h6,247591.14311977828
s25h7,275389.8371355283
s25h8,232013.51978622054
s25h9,231264.82267392045
s25h10,226668.068170899
s25h11,220737.17182121353
s25h12,243696.23742163557
s25h13,248347.06918400637
s25h14,276489.0515926439
s25h15,233048.38126539168
s25h16,232349.61517954885
s25h17,227751.6961262941
s25h18,221822.5460412833
s25h19,244785.21501266334
s25h20,249561.75143835295
s25h21,277864.5959642419
s26h1,286509.2385777494
s26h2,268417.7327994536
s26h3,268643.7340879123
s26h4,267988.20389867673
s26h5,277354.3292676415
s26h6,300783.38704027847
s26h7,327161.62807274837
s26h8,286956.90492689115
s26h9,268840.36990360485
s26h10,269003.9513378384
s26h11,268316.4030860053
s26h12,277657.3575923174
s26h13,301123.1517228355
s26h14,327544.65630066
s26h15,287307.03173962375
s26h16,269157.3820264513
s26h17,269314.4504100291
s26h18,268617.56329380104
s26h19,277946.5411064903
s26h20,301456.4709402841
s26h21,327925.44910456554
s27h1,3026.425281700374
s27h2,2763.9653176525826
s27h3,2646.342482981734
s27h4,2774.301811538023
s27h5,2573.7936685217605
s27h6,2738.293126574329
s27h7,3350.8895500409612
s27h8,3072.5720460442826
s27h9,2801.428795957528
s27h10,2674.3218015873517
s27h11,2795.4460270090785
s27h12,2589.6736407342164
s27h13,2749.9437797881133
s27h14,3359.4267259612798
s27h15,3078.8017099743565
s27h16,2805.826955543964
s27h17,2677.4340994373597
s27h18,2797.488227173862
s27h19,2590.950306697568
s27h20,2750.4189893497714
s27h21,3359.4137269356206
s28h1,3908.602826122443
s28h2,3784.043699833598
s28h3,3063.5078826856707
s28h4,3185.825235229784
s28h5,3058.05948535644
s28h6,3253.938474863263
s28h7,3927.2585976394535
s28h8,3960.307247439895
s28h9,3822.133088312091
s28h10,3089.5850613944085
s28h11,3203.3404229848275
s28h12,3069.520623519282
s28h13,3260.5603641269126
s28h14,3930.7560298686926
s28h15,3961.5868880114726
s28h16,3821.7829583837747
s28h17,3088.575470700373
s28h18,3201.4346580543843
s28h19,3067.1133999919225
s28h20,3257.273628834733
s28h21,3927.175967548349
s29h1,120466.96932428746
s29h2,112607.01555604089
s29h3,112238.81567691556
s29h4,114167.54892111715
s29h5,107679.23401056006
s29h6,92825.70067719983
s29h7,110054.88559152732
s29h8,122570.14445532592
s29h9,113806.7715520392
s29h10,112879.03023544588
s29h11,114473.50700592858
s29h12,107792.07104692298
s29h13,92830.57731300456
s29h14,109971.01519672983
s29h15,122425.53636233487
s29h16,113641.53558648734
s29h17,112702.62965542679
s29h18,114290.13969050703
s29h19,107611.88933021488
s29h20,92660.09494261368
s29h21,109782.37777978764
s30h1,80712.5243239607
s30h2,76015.62064162362
s30h3,74912.73501105978
s30h4,74950.63123946488
s30h5,69499.2996137845
s30h6,66586.25575615787
s30h7,76913.59395829328
s30h8,81549.31051591244
s30h9,76511.58641129016
s30h10,75160.6307393763
s30h11,75040.45153811603
s30h12,69497.77706315633
s30h13,66527.57117358981
s30h14,76799.08415067852
s30h15,81389.2175530013
s30h16,76340.65336629274
s30h17,74984.47533818013
s30h18,74857.13064366957
s30h19,69321.11873651069
s30h20,66356.64345335586
s30h21,76612.94568274687
s31h1,128842.78761266675
s31h2,124495.13468118057
s31h3,125024.99029038272
s31h4,128047.34514454375
s31h5,147467.8956064839
s31h6,155733.0777736072
s31h7,168195.016911316
s31h8,129021.51726205318
s31h9,124616.52562760281
s31h10,125131.77727396265
s31h11,128152.20794730254
s31h12,147563.18699553295
s31h13,155868.32809033574
s31h14,168351.6002280938
s31h15,129127.40564432344
s31h16,124716.87454028329
s31h17,125232.75910890794
s31h18,128255.71831391583
s31h19,147658.36796979496
s31h20,156004.10123428615
s31h21,168508.96439599647
s32h1,89437.64362260241
s32h2,82956.72892242199
s32h3,87776.04269507411
s32h4,85316.09600754998
s32h5,89399.77572074723
s32h6,103885.6321498724
s32h7,115709.16276368775
s32h8,90446.70419248781
s32h9,83518.05299913991
s32h10,88042.75059419918
s32h11,85415.94123524961
s32h12,89404.27860927483
s32h13,103806.72172224053
s32h14,115563.3566127973
s32h15,90331.42186124588
s32h16,83400.08663602843
s32h17,87920.60821821987
s32h18,85291.28241987045
s32h19,89279.4997216342
s32h20,103653.65284701702
s32h21,115375.34088851321
s33h1,368140.7474564981
s33h2,362988.03975285834
s33h3,357431.69007027725
s33h4,347873.88329725835
s33h5,348167.7541487274
s33h6,353354.1436819074
s33h7,385969.6137074073
s33h8,368875.0463511318
s33h9,363127.3234048945
s33h10,357183.7617054689
s33h11,347461.07538281986
s33h12,347648.49692143337
s33h13,352735.1388291799
s33h14,385277.1805064765
s33h15,368284.35620057164
s33h16,362550.6921576369
s33h17,356589.4042468014
s33h18,346875.9198957456
s33h19,347046.05702389276
s33h20,352077.8346265868
s33h21,384569.2486220206
s34h1,459063.44898358657
s34h2,425448.1118827279
s34h3,426903.9171791827
s34h4,430010.8761270511
s34h5,452472.40552520705
s34h6,483466.9671600491
s34h7,527704.2768666898
s34h8,459642.9542464106
s34h9,426195.74240019586
s34h10,427649.2820228052
s34h11,430752.2997260437
s34h12,453270.38123367797
s34h13,484390.72340028966
s34h14,528701.3126698185
s34h15,460411.03418118844
s34h16,426959.46222966386
s34h17,428414.6206765009
s34h18,431505.41875609424
s34h19,454078.52687439724
s34h20,485325.2860543694
s34h21,529709.7588798231
s35h1,31672.41764020406
s35h2,28759.62209997323
s35h3,25645.696010080104
s35h4,24906.40260887671
s35h5,25150.797065118928
s35h6,30302.170476346397
s35h7,32610.880788136725
s35h8,31406.846064977955
s35h9,28606.794129411363
s35h10,25592.016318403057
s35h11,24901.879788818525
s35h12,25176.868389030777
s35h13,30344.75543947127
s35h14,32663.527191280013
s35h15,31466.73998913379
s35h16,28670.40833851277
s35h17,25658.022418698707
s35h18,24968.84296958663
s35h19,25244.227691100554
s35h20,30411.526290544272
s35h21,32730.24482246046
s36h1,34128.485682179155
s36h2,30179.489396648794
s36h3,30415.072512381117
s36h4,29158.26932116674
s36h5,31095.732217174147
s36h6,36596.12298808985
s36h7,41912.1724547659
s36h8,33968.70829935347
s36h9,30200.22862094911
s36h10,30476.714136464758
s36h11,29225.258826641184
s36h12,31161.967524798616
s36h13,36661.06036144768
s36h14,41976.0721025871
s36h15,34034.6083190289
s36h16,30266.39980419023
s36h17,30543.160567577925
s36h18,29291.771539049616
s36h19,31227.798258652005
s36h20,36725.85442300132
s36h21,42039.914494659526
s37h1,111862.787204653
s37h2,103893.22516367976
s37h3,100004.98973799871
s37h4,102182.497231864
s37h5,99392.56813429191
s37h6,97122.17674751782
s37h7,99523.24286071902
s37h8,112501.76481771174
s37h9,104149.02942437989
s37h10,100050.71567733366
s37h11,102105.73045676797
s37h12,99252.29420526366
s37h13,96960.32661285656
s37h14,99331.16890028
s37h15,112271.86217551389
s37h16,103924.70886464018
s37h17,99831.01747249639
s37h18,101882.84353733549
s37h19,99032.01573029257
s37h20,96754.97195949593
s37h21,99116.08271901243
s38h1,138994.0259132033
s38h2,142888.74987061197
s38h3,140494.95993559
s38h4,144064.31370948878
s38h5,138722.93503425465
s38h6,118521.3234164175
s38h7,119407.59541441352
s38h8,138321.9501810955
s38h9,142582.86909888897
s38h10,140378.34325674686
s38h11,144048.18971637142
s38h12,138761.24612509913
s38h13,118577.46745749142
s38h14,119484.19183237752
s38h15,138418.0118112051
s38h16,142686.50816299053
s38h17,140484.7723438517
s38h18,144153.05053788118
s38h19,138865.354082257
s38h20,118669.41352227514
s38h21,119580.40180459517
s39h1,254157.95443511952
s39h2,235208.0911236538
s39h3,242922.12897325476
s39h4,235597.20860733103
s39h5,231361.5935085341
s39h6,270377.9682509415
s39h7,288369.6506347334
s39h8,255060.30218093397
s39h9,235491.57527004197
s39h10,242656.7647498331
s39h11,235166.8517531979
s39h12,230790.06854764043
s39h13,269617.00492679444
s39h14,287524.8547371055
s39h15,254418.53068189992
s39h16,234864.67244730255
s39h17,242033.6870752383
s39h18,234569.34005297418
s39h19,230150.88645710208
s39h20,268832.87572439585
s39h21,286677.5487127645
s40h1,326168.3822399353
s40h2,305483.9978905751
s40h3,303027.64842040284
s40h4,307157.5639652432
s40h5,318010.53047494584
s40h6,378730.5881889092
s40h7,404349.68468306295
s40h8,327269.78149440256
s40h9,306250.3764306597
s40h10,303606.63632537273
s40h11,307712.815927707
s40h12,318590.4214405558
s40h13,379498.6616632658
s40h14,405153.1168031274
s40h15,327804.8009152006
s40h16,306773.1357242058
s40h17,304102.4808991358
s40h18,308240.7169894012
s40h19,319164.37360128807
s40h20,380271.51085377124
s40h21,405964.7750609627
s41h1,12454.36583864217
s41h2,12431.130021292924
s41h3,11989.766495618269
s41h4,11854.422265670422
s41h5,12434.012973812321
s41h6,9099.740881354008
s41h7,9398.440621797266
s41h8,12716.199352522082
s41h9,12620.14790315659
s41h10,12105.100957858354
