Id,forecasts
s1h1,249320
s1h2,246251
s1h3,230031
s1h4,248631
s1h5,243271
s1h6,236355
s1h7,302897
s1h8,249320
s1h9,246251
s1h10,230031
s1h11,248631
s1h12,243271
s1h13,236355
s1h14,302897
s1h15,249320
s1h16,246251
s1h17,230031
s1h18,248631
s1h19,243271
s1h20,236355
s1h21,302897
s2h1,349334
s2h2,324091
s2h3,314728
s2h4,338244
s2h5,330409
s2h6,334250
s2h7,411690
s2h8,349334
s2h9,324091
s2h10,314728
s2h11,338244
s2h12,330409
s2h13,334250
s2h14,411690
s2h15,349334
s2h16,324091
s2h17,314728
s2h18,338244
s2h19,330409
s2h20,334250
s2h21,411690
s3h1,3251
s3h2,3064
s3h3,2831
s3h4,2847
s3h5,2775
s3h6,3243
s3h7,2721
s3h8,3251
s3h9,3064
s3h10,2831
s3h11,2847
s3h12,2775
s3h13,3243
s3h14,2721
s3h15,3251
s3h16,3064
s3h17,2831
s3h18,2847
s3h19,2775
s3h20,3243
s3h21,2721
s4h1,3877
s4h2,3519
s4h3,3296
s4h4,3288
s4h5,3257
s4h6,3720
s4h7,3221
s4h8,3877
s4h9,3519
s4h10,3296
s4h11,3288
s4h12,3257
s4h13,3720
s4h14,3221
s4h15,3877
s4h16,3519
s4h17,3296
s4h18,3288
s4h19,3257
s4h20,3720
s4h21,3221
s5h1,103910
s5h2,97032
s5h3,91745
s5h4,91589
s5h5,84416
s5h6,68137
s5h7,83879
s5h8,103910
s5h9,97032
s5h10,91745
s5h11,91589
s5h12,84416
s5h13,68137
s5h14,83879
s5h15,103910
s5h16,97032
s5h17,91745
s5h18,91589
s5h19,84416
s5h20,68137
s5h21,83879
s6h1,133660
s6h2,128314
s6h3,131490
s6h4,135979
s6h5,119250
s6h6,95093
s6h7,111489
s6h8,133660
s6h9,128314
s6h10,131490
s6h11,135979
s6h12,119250
s6h13,95093
s6h14,111489
s6h15,133660
s6h16,128314
s6h17,131490
s6h18,135979
s6h19,119250
s6h20,95093
s6h21,111489
s7h1,132929
s7h2,128337
s7h3,109541
s7h4,125808
s7h5,135320
s7h6,161005
s7h7,198531
s7h8,132929
s7h9,128337
s7h10,109541
s7h11,125808
s7h12,135320
s7h13,161005
s7h14,198531
s7h15,132929
s7h16,128337
s7h17,109541
s7h18,125808
s7h19,135320
s7h20,161005
s7h21,198531
s8h1,178907
s8h2,192962
s8h3,193837
s8h4,197371
s8h5,184800
s8h6,166463
s8h7,156390
s8h8,178907
s8h9,192962
s8h10,193837
s8h11,197371
s8h12,184800
s8h13,166463
s8h14,156390
s8h15,178907
s8h16,192962
s8h17,193837
s8h18,197371
s8h19,184800
s8h20,166463
s8h21,156390
s9h1,187508
s9h2,178155
s9h3,188809
s9h4,175970
s9h5,172796
s9h6,176556
s9h7,194440
s9h8,187508
s9h9,178155
s9h10,188809
s9h11,175970
s9h12,172796
s9h13,176556
s9h14,194440
s9h15,187508
s9h16,178155
s9h17,188809
s9h18,175970
s9h19,172796
s9h20,176556
s9h21,194440
s10h1,66632
s10h2,67514
s10h3,68232
s10h4,67146
s10h5,69749
s10h6,60610
s10h7,63139
s10h8,66632
s10h9,67514
s10h10,68232
s10h11,67146
s10h12,69749
s10h13,60610
s10h14,63139
s10h15,66632
s10h16,67514
s10h17,68232
s10h18,67146
s10h19,69749
