Id,forecasts
s1h1,243414.1085888091
s1h2,238887.05481284426
s1h3,230345.29229444286
s1h4,244994.12668003276
s1h5,241161.77858570064
s1h6,238354.4624562415
s1h7,293620.6318012215
s1h8,241854.46142202278
s1h9,237878.2140321133
s1h10,229455.01550303004
s1h11,244282.23240071782
s1h12,240010.59317302497
s1h13,237033.48810695572
s1h14,291887.543106573
s1h15,240294.8142552365
s1h16,236869.37325138232
s1h17,228564.73871161722
s1h18,243570.33812140286
s1h19,238859.40776034928
s1h20,235712.5137576699
s1h21,290154.45441192447
s2h1,339075.14306446165
s2h2,321627.90864667756
s2h3,310842.1664186263
s2h4,341210.5992619703
s2h5,338239.202819928
s2h6,338647.1695960751
s2h7,417090.9604766862
s2h8,337597.35113518307
s2h9,320472.21438817785
s2h10,309677.8842416886
s2h11,340728.48038153857
s2h12,337537.3134949429
s2h13,337699.2074726424
s2h14,415647.4300618543
s2h15,336119.5592059045
s2h16,319316.5201296782
s2h17,308513.6020647509
s2h18,340246.3615011068
s2h19,336835.4241699578
s2h20,336751.2453492097
s2h21,414203.8996470225
s3h1,3064.542245079616
s3h2,2883.4835619130477
s3h3,2802.6461558605506
s3h4,2688.324767980696
s3h5,2821.10481278324
s3h6,3112.6295167433414
s3h7,2660.5499114802005
s3h8,3050.6392688404944
s3h9,2867.1183760781587
s3h10,2786.8280561751844
s3h11,2671.0265071681697
s3h12,2805.171839329114
s3h13,3088.627044056914
s3h14,2639.1894897695493
s3h15,3036.7362926013725
s3h16,2850.75319024327
s3h17,2771.0099564898187
s3h18,2653.7282463556435
s3h19,2789.238865874988
s3h20,3064.624571370487
s3h21,2617.829068058898
s4h1,3707.0976478203847
s4h2,3350.116058215317
s4h3,3268.1239840844514
s4h4,3122.797872013312
s4h5,3307.393380578415
s4h6,3681.627863086671
s4h7,3276.1719040935213
s4h8,3691.44267451855
s4h9,3330.2331966884117
s4h10,3249.7936606894814
s4h11,3102.2263104907447
s4h12,3289.314759581835
s4h13,3657.3064669141145
s4h14,3253.3870604280787
s4h15,3675.787701216715
s4h16,3310.350335161507
s4h17,3231.463337294511
s4h18,3081.6547489681775
s4h19,3271.2361385852546
s4h20,3632.9850707415585
s4h21,3230.6022167626365
s5h1,101513.65648882712
s5h2,96276.8584568888
s5h3,91668.72846520922
s5h4,89287.99389094088
s5h5,83617.46143304883
s5h6,68322.64157859267
s5h7,81754.21824431702
s5h8,100723.0401234917
s5h9,95513.43223484291
s5h10,90896.68845344559
s5h11,88567.03252305785
s5h12,83000.11689526367
s5h13,67780.71161834766
s5h14,81059.6791417814
s5h15,99932.42375815625
s5h16,94750.006012797
s5h17,90124.64844168197
s5h18,87846.07115517482
s5h19,82382.77235747849
s5h20,67238.78165810264
s5h21,80365.14003924576
s6h1,125380.42217410085
s6h2,123107.18070317234
s6h3,126135.74251460338
s6h4,128904.39284777992
s6h5,118330.98740599885
s6h6,92902.98989744556
s6h7,103229.32172701953
s6h8,124085.75948830896
s6h9,122022.82165272733
s6h10,125257.23310447631
s6h11,128135.73619397364
s6h12,117680.13314656231
s6h13,92256.04554586318
s6h14,102211.90241598675
s6h15,122791.09680251706
s6h16,120938.46260228234
s6h17,124378.72369434926
s6h18,127367.07954016738
s6h19,117029.27888712575
s6h20,91609.1011942808
s6h21,101194.483104954
s7h1,133534.39174998467
s7h2,124553.83687623907
s7h3,109146.58169077119
s7h4,126811.20957326253
s7h5,133085.33212325347
s7h6,162580.39175839056
s7h7,189140.88638778744
s7h8,133098.81393689127
s7h9,124332.6548687413
s7h10,108738.4566045243
s7h11,126669.70021676872
s7h12,132545.26297438744
s7h13,162066.4777739677
s7h14,188208.99601085033
s7h15,132663.23612379783
s7h16,124111.47286124353
s7h17,108330.33151827741
s7h18,126528.19086027489
s7h19,132005.1938255214
s7h20,161552.5637895448
s7h21,187277.1056339132
s8h1,164543.80371244796
s8h2,171656.87506845608
s8h3,161916.5941086952
s8h4,169829.67799108967
s8h5,184742.23326358397
s8h6,204320.36097349355
s8h7,243868.45630597358
s8h8,163961.42069206954
s8h9,171683.81257126195
s8h10,161940.83303812688
s8h11,169891.35660871712
s8h12,184623.48786776842
s8h13,203936.44752227067
s8h14,243143.25693389375
s8h15,163379.0376716911
s8h16,171710.7500740678
s8h17,161965.0719675586
s8h18,169953.03522634454
s8h19,184504.7424719529
s8h20,203552.53407104782
s8h21,242418.05756181388
s9h1,174952.5225761834
s9h2,166341.4778787631
s9h3,174120.76524290658
s9h4,169290.47005434518
s9h5,162358.40779937414
s9h6,168037.71622092952
s9h7,179089.57769541908
s9h8,171132.09699777243
s9h9,163196.15733537692
s9h10,171112.86288865437
s9h11,165807.3119594305
s9h12,158874.88339752844
s9h13,165335.152738209
s9h14,175546.95967168908
s9h15,167311.6714193615
s9h16,160050.83679199076
s9h17,168104.96053440214
s9h18,162324.15386451583
s9h19,155391.35899568276
s9h20,162632.58925548848
s9h21,172004.34164795908
s10h1,65220.12575393343
s10h2,65904.99456599804
s10h3,66856.43486092471
s10h4,66565.15700872161
s10h5,72148.70048515454
s10h6,59667.01918719528
s10h7,62827.86009316482
s10h8,64588.10874868458
s10h9,65423.048942423215
s10h10,66435.71664319634
s10h11,66233.15909075613
s10h12,71892.17187489192
s10h13,59400.35551507685
s10h14,62377.47141641242
s10h15,63956.091743435725
s10h16,64941.103318848385
s10h17,66014.99842546796
s10h18,65901.16117279064
s10h19,71635.64326462933
s10h20,59133.69184295843
s10h21,61927.08273966002
